Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/chat/completions [shared_prefix],892,847,4,20.66273823378643,1.350749982520938,703.1742079998367,134.43834080717488,21.174790271577052,20.106555336351754,4,4,4,4,5,180,320,370,700,700,700
,Aggregated,892,847,4,20.66273823378643,1.350749982520938,703.1742079998367,134.43834080717488,21.174790271577052,20.106555336351754,4,4,4,4,5,180,320,370,700,700,700
