Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/chat/completions [diverse],925,904,4,10.938551581678661,0.7284590392373502,409.0853329980746,116.50918918918919,20.998640027360743,20.5219141456585,4,4,4,4,4,5,190,290,410,410,410
,Aggregated,925,904,4,10.938551581678661,0.7284590392373502,409.0853329980746,116.50918918918919,20.998640027360743,20.5219141456585,4,4,4,4,4,5,190,290,410,410,410
